"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6,C9,C12,C5,C7,C10,C4,C11";"C_Disc_D3.4mm_W2.1mm_P2.50mm";8;".1uf";;;
2;"C1,C2";"C_Disc_D3.4mm_W2.1mm_P2.50mm";2;"20pf-DNP";;;
3;"J3";"PinSocket_1x06_P2.54mm_Horizontal";1;"FTDI";;;
4;"U3";"DIP-14_W7.62mm_Socket";1;"74LS90";;;
5;"J2";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"5V Power";;;
6;"R4,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"4.7K";;;
7;"SW1";"SW_PUSH_6mm_H5mm";1;"RESET";;;
8;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"490";;;
9;"RN1";"R_Array_SIP10";1;"10K";;;
10;"LED1";"LED_D5.0mm";1;"POWER";;;
11;"J1";"PinHeader_2x25_P2.54mm_Vertical";1;"Expansion";;;
12;"U1";"DIP-40_W15.24mm_Socket";1;"8085";;;
13;"U7";"DIP_Socket-28_W11.9_W12.7_W15.24_W17.78_W18.5_3M_228-1277-00-0602J";1;"X28256";;;
14;"U4";"DIP-16_W7.62mm_Socket";1;"74LS139";;;
15;"C8";"CP_Radial_D7.5mm_P2.50mm";1;"100uf";;;
16;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100K";;;
17;"U5";"DIP-20_W7.62mm_Socket";1;"74LS573";;;
18;"C3";"CP_Radial_D7.5mm_P2.50mm";1;"1uf";;;
19;"U6";"DIP-28_W15.24mm_Socket";1;"CY62256";;;
20;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
21;"Y1";"Crystal_HC49-4H_Vertical";1;"6.144M";;;
22;"U2";"DIP-28_W15.24mm_Socket";1;"8251A";;;
